cmtnwyp4a0002fwg0mmh03k0z | openai | gpt-5.6-luna | plan-episodes | 2 | 0.011205 | 5574 | 8710 | 2784 | 97658 | 0
cmtnx6j3k0000zig0o9y4ei1g | openai | gpt-5.6-luna | build-case-evidence | 44 | 0.04122599999999999 | 52279 | 24175 | 0 | 247987 | 0
cmtnx6j3k0000zig0o9y4ei1g | openai | gpt-5.6-luna | develop-book-plan | 2 | 0.021027 | 34067 | 10426 | 0 | 124501 | 0
cmtnx6j3k0000zig0o9y4ei1g | openai | gpt-5.6-luna | extract-excerpts | 21 | 0.07233 | 239129 | 10458 | 0 | 103486 | 0
cmtnx6j3k0000zig0o9y4ei1g | openai | gpt-5.6-luna | plan-episodes | 3 | 0.009319000000000001 | 4744 | 7393 | 2784 | 90442 | 0
cmtnx6j3k0000zig0o9y4ei1g | openai | gpt-5.6-luna | verify-case-evidence | 53 | 0.091695 | 122242 | 52581 | 8496 | 485660 | 0
cmtny8hzz00007jg0gh6u4g49 | openai | gpt-5.6-luna | build-case-evidence | 29 | 0.029266 | 37276 | 17033 | 0 | 169702 | 0
cmtny8hzz00007jg0gh6u4g49 | openai | gpt-5.6-luna | develop-book-plan | 4 | 0.038761000000000004 | 63326 | 19109 | 0 | 157663 | 0
cmtny8hzz00007jg0gh6u4g49 | openai | gpt-5.6-luna | extract-excerpts | 21 | 0.06813600000000002 | 223638 | 10192 | 0 | 107665 | 0
cmtny8hzz00007jg0gh6u4g49 | openai | gpt-5.6-luna | plan-episodes | 2 | 0.008462 | 3773 | 6841 | 2784 | 78255 | 0
cmtny8hzz00007jg0gh6u4g49 | openai | gpt-5.6-luna | verify-case-evidence | 27 | 0.047753000000000004 | 66031 | 26041 | 0 | 266823 | 0
cmtnyg6l00002seg0hki6pj5i | openai | gpt-5.6-luna | build-case-evidence | 29 | 0.032379 | 41536 | 18502 | 0 | 162350 | 0
cmtnyg6l00002seg0hki6pj5i | openai | gpt-5.6-luna | develop-book-plan | 3 | 0.02983 | 49582 | 14529 | 0 | 110591 | 0
cmtnyg6l00002seg0hki6pj5i | openai | gpt-5.6-luna | extract-excerpts | 18 | 0.050151 | 163102 | 7814 | 0 | 84573 | 0
cmtnyg6l00002seg0hki6pj5i | openai | gpt-5.6-luna | plan-episodes | 1 | 0.005012 | 2787 | 4130 | 2784 | 44212 | 0
cmtnyg6l00002seg0hki6pj5i | openai | gpt-5.6-luna | review-book-development | 2 | 0.011318 | 36376 | 1853 | 0 | 27571 | 0
cmtnyg6l00002seg0hki6pj5i | openai | gpt-5.6-luna | verify-case-evidence | 25 | 0.044266000000000014 | 60568 | 24272 | 0 | 237372 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | build-case-evidence | 34 | 0.03838600000000001 | 48294 | 22157 | 0 | 206514 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | compose-chapter | 4 | 0.032149000000000004 | 52912 | 15768 | 0 | 189964 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | develop-book-plan | 6 | 0.064289 | 113745 | 29877 | 0 | 307583 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | edit-chapter | 1 | 0.008346 | 14382 | 3959 | 0 | 21892 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | extract-excerpts | 19 | 0.060128 | 188075 | 10925 | 0 | 112280 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | plan-chapter-forms | 2 | 0.014906 | 16999 | 8880 | 0 | 65095 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | plan-episodes | 3 | 0.0071140000000000005 | 4792 | 5504 | 2784 | 70782 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | review-book-development | 2 | 0.012763 | 40998 | 2095 | 0 | 23039 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | review-chapter-evidence | 2 | 0.0058779999999999995 | 14602 | 1856 | 0 | 27508 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | rewrite-couplets | 1 | 0.000798 | 870 | 520 | 0 | 4757 | 0
cmtnz1i2500008xg01dal6amd | openai | gpt-5.6-luna | verify-case-evidence | 32 | 0.056149000000000004 | 77303 | 30692 | 0 | 354218 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | build-case-evidence | 32 | 0.035171999999999995 | 42889 | 20638 | 0 | 187211 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | compose-chapter | 4 | 0.025161 | 38672 | 12911 | 0 | 128439 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | develop-book-plan | 5 | 0.055714999999999994 | 99582 | 25684 | 0 | 204012 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | extract-excerpts | 25 | 0.08467300000000003 | 282120 | 11787 | 0 | 119119 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | plan-chapter-forms | 2 | 0.015275 | 18209 | 8936 | 0 | 71731 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | plan-episodes | 4 | 0.010645 | 5686 | 8341 | 2784 | 101292 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | review-book-development | 3 | 0.020250999999999998 | 67043 | 2909 | 0 | 31193 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | review-chapter-evidence | 1 | 0.002255 | 5320 | 771 | 0 | 11362 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | rewrite-couplets | 1 | 0.00067 | 793 | 426 | 0 | 4217 | 0
cmtnz1nxq0000xbg0fzjvbdwv | openai | gpt-5.6-luna | verify-case-evidence | 29 | 0.052305000000000004 | 73154 | 28351 | 0 | 316830 | 0
cmtnznlx0006hz8p26vd7jfvy | openai | gpt-5.6-luna | select-cover-design | 1 | 0.000615 | 2275 | 39 | 0 | 1424 | 0
cmtnzo7xh0002qwg05ogzn883 | openai | gpt-5.6-luna | build-case-evidence | 6 | 0.006692 | 8358 | 3876 | 0 | 34810 | 0
cmtnzo7xh0002qwg05ogzn883 | openai | gpt-5.6-luna | extract-excerpts | 18 | 0.050494 | 165462 | 7611 | 0 | 83690 | 0
cmtnzo7xh0002qwg05ogzn883 | openai | gpt-5.6-luna | plan-episodes | 2 | 0.006659 | 3708 | 5349 | 2784 | 55856 | 0
cmtnzo7xh0002qwg05ogzn883 | openai | gpt-5.6-luna | verify-case-evidence | 6 | 0.011303 | 16742 | 5932 | 0 | 62797 | 0
cmtnzrk9900ehz8p2bym1bg38 | openai | gpt-5.6-luna | select-cover-design | 1 | 0.000127 | 2275 | 40 | 2127 | 1450 | 0
cmto0e92v0000jmg0pul2e7ak | openai | gpt-5.6-luna | compose-chapter | 22 | 0.19582999999999998 | 310773 | 98449 | 0 | 1106675 | 0
cmto0e92v0000jmg0pul2e7ak | openai | gpt-5.6-luna | describe-pages | 30 | 0.08294399999999999 | 163295 | 35101 | 0 | 310062 | 0
cmto0e92v0000jmg0pul2e7ak | openai | gpt-5.6-luna | edit-chapter | 58 | 0.7976310000000001 | 1970568 | 254164 | 0 | 1592060 | 0
